Cancer,Year,Sex,Age,Risk,Risk_1_X,Type
Melanoma of the skin,2007,Persons,before age 25,0.0622,1607.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 30,0.1323,756.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 35,0.2468,405.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 40,0.3979,251.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 45,0.5832,171.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 50,0.8457,118.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 55,1.1691,86.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 60,1.5893,63.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 65,2.0906,48.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 70,2.6723,37.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 75,3.3185,30.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 80,3.9692,25.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 85,4.5625,22.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 90,4.9415,20.0,Diagnosis
Melanoma of the skin,2007,Persons,Lifetime,5.1825,19.0,Diagnosis
Melanoma of the skin,2007,Males,before age  5,0.0000,,Diagnosis
Melanoma of the skin,2007,Males,before age 10,0.0007,,Diagnosis
Melanoma of the skin,2007,Males,before age 15,0.0028,,Diagnosis
Melanoma of the skin,2007,Males,before age 20,0.0175,5717.0,Diagnosis
Melanoma of the skin,2007,Males,before age 25,0.0548,1826.0,Diagnosis
Melanoma of the skin,2007,Males,before age 30,0.1112,900.0,Diagnosis
Melanoma of the skin,2007,Males,before age 35,0.2061,485.0,Diagnosis
Melanoma of the skin,2007,Males,before age 40,0.3631,275.0,Diagnosis
Melanoma of the skin,2007,Males,before age 45,0.5673,176.0,Diagnosis
Melanoma of the skin,2007,Males,before age 50,0.8251,121.0,Diagnosis
Melanoma of the skin,2007,Males,before age 55,1.2112,83.0,Diagnosis
Melanoma of the skin,2007,Males,before age 60,1.6991,59.0,Diagnosis
Melanoma of the skin,2007,Males,before age 65,2.3379,43.0,Diagnosis
Melanoma of the skin,2007,Males,before age 70,3.1358,32.0,Diagnosis
Melanoma of the skin,2007,Males,before age 75,3.9389,25.0,Diagnosis
Melanoma of the skin,2007,Males,before age 80,4.8385,21.0,Diagnosis
Melanoma of the skin,2007,Males,before age 85,5.7501,17.0,Diagnosis
Melanoma of the skin,2007,Males,before age 90,6.3051,16.0,Diagnosis
Melanoma of the skin,2007,Males,Lifetime,6.6166,15.0,Diagnosis
Melanoma of the skin,2007,Females,before age  5,0.0000,,Diagnosis
Melanoma of the skin,2007,Females,before age 10,0.0008,,Diagnosis
Melanoma of the skin,2007,Females,before age 15,0.0022,,Diagnosis
Melanoma of the skin,2007,Females,before age 20,0.0164,6111.0,Diagnosis
Melanoma of the skin,2007,Females,before age 25,0.0698,1433.0,Diagnosis
Melanoma of the skin,2007,Females,before age 30,0.1515,660.0,Diagnosis
Melanoma of the skin,2007,Females,before age 35,0.2781,360.0,Diagnosis
Melanoma of the skin,2007,Females,before age 40,0.4500,222.0,Diagnosis
Melanoma of the skin,2007,Females,before age 45,0.6558,152.0,Diagnosis
Melanoma of the skin,2007,Females,before age 50,0.9103,110.0,Diagnosis
Melanoma of the skin,2007,Females,before age 55,1.2260,82.0,Diagnosis
Melanoma of the skin,2007,Females,before age 60,1.6002,62.0,Diagnosis
Melanoma of the skin,2007,Females,before age 65,2.0107,50.0,Diagnosis
Melanoma of the skin,2007,Females,before age 70,2.4483,41.0,Diagnosis
Melanoma of the skin,2007,Females,before age 75,2.9185,34.0,Diagnosis
Melanoma of the skin,2007,Females,before age 80,3.3728,30.0,Diagnosis
Melanoma of the skin,2007,Females,before age 85,3.8039,26.0,Diagnosis
Melanoma of the skin,2007,Females,before age 90,4.0896,24.0,Diagnosis
Melanoma of the skin,2007,Females,Lifetime,4.3148,23.0,Diagnosis
Melanoma of the skin,2007,Persons,before age  5,0.0000,,Diagnosis
Melanoma of the skin,2007,Persons,before age 10,0.0007,,Diagnosis
Melanoma of the skin,2007,Persons,before age 15,0.0025,,Diagnosis
Melanoma of the skin,2007,Persons,before age 20,0.0169,5901.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 25,0.0621,1611.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 30,0.1309,764.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 35,0.2417,414.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 40,0.4061,246.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 45,0.6111,164.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 50,0.8672,115.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 55,1.2182,82.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 60,1.6500,61.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 65,2.1778,46.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 70,2.8009,36.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 75,3.4408,29.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 80,4.1182,24.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 85,4.7794,21.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 90,5.1837,19.0,Diagnosis
Melanoma of the skin,2007,Persons,Lifetime,5.4368,18.0,Diagnosis
Melanoma of the skin,2007,Males,before age  5,0.0007,,Diagnosis
Melanoma of the skin,2007,Males,before age 10,0.0007,,Diagnosis
Melanoma of the skin,2007,Males,before age 15,0.0070,,Diagnosis
Melanoma of the skin,2007,Males,before age 20,0.0248,4035.0,Diagnosis
Melanoma of the skin,2007,Males,before age 25,0.0540,1853.0,Diagnosis
Melanoma of the skin,2007,Males,before age 30,0.1161,862.0,Diagnosis
Melanoma of the skin,2007,Males,before age 35,0.2144,466.0,Diagnosis
Melanoma of the skin,2007,Males,before age 40,0.3712,269.0,Diagnosis
Melanoma of the skin,2007,Males,before age 45,0.5635,177.0,Diagnosis
Melanoma of the skin,2007,Males,before age 50,0.8030,125.0,Diagnosis
Melanoma of the skin,2007,Males,before age 55,1.1713,85.0,Diagnosis
Melanoma of the skin,2007,Males,before age 60,1.6700,60.0,Diagnosis
Melanoma of the skin,2007,Males,before age 65,2.2936,44.0,Diagnosis
Melanoma of the skin,2007,Males,before age 70,3.0381,33.0,Diagnosis
Melanoma of the skin,2007,Males,before age 75,3.9688,25.0,Diagnosis
Melanoma of the skin,2007,Males,before age 80,4.9046,20.0,Diagnosis
Melanoma of the skin,2007,Males,before age 85,5.7004,18.0,Diagnosis
Melanoma of the skin,2007,Males,before age 90,6.2754,16.0,Diagnosis
Melanoma of the skin,2007,Males,Lifetime,6.6078,15.0,Diagnosis
Melanoma of the skin,2007,Females,before age  5,0.0000,,Diagnosis
Melanoma of the skin,2007,Females,before age 10,0.0008,,Diagnosis
Melanoma of the skin,2007,Females,before age 15,0.0030,,Diagnosis
Melanoma of the skin,2007,Females,before age 20,0.0225,4435.0,Diagnosis
Melanoma of the skin,2007,Females,before age 25,0.0717,1395.0,Diagnosis
Melanoma of the skin,2007,Females,before age 30,0.1509,663.0,Diagnosis
Melanoma of the skin,2007,Females,before age 35,0.2689,372.0,Diagnosis
Melanoma of the skin,2007,Females,before age 40,0.4259,235.0,Diagnosis
Melanoma of the skin,2007,Females,before age 45,0.6298,159.0,Diagnosis
Melanoma of the skin,2007,Females,before age 50,0.8878,113.0,Diagnosis
Melanoma of the skin,2007,Females,before age 55,1.1691,86.0,Diagnosis
Melanoma of the skin,2007,Females,before age 60,1.5176,66.0,Diagnosis
Melanoma of the skin,2007,Females,before age 65,1.9319,52.0,Diagnosis
Melanoma of the skin,2007,Females,before age 70,2.3585,42.0,Diagnosis
Melanoma of the skin,2007,Females,before age 75,2.8548,35.0,Diagnosis
Melanoma of the skin,2007,Females,before age 80,3.3887,30.0,Diagnosis
Melanoma of the skin,2007,Females,before age 85,3.8489,26.0,Diagnosis
Melanoma of the skin,2007,Females,before age 90,4.1857,24.0,Diagnosis
Melanoma of the skin,2007,Females,Lifetime,4.4418,23.0,Diagnosis
Melanoma of the skin,2007,Persons,before age  5,0.0003,,Diagnosis
Melanoma of the skin,2007,Persons,before age 10,0.0007,,Diagnosis
Melanoma of the skin,2007,Persons,before age 15,0.0050,,Diagnosis
Melanoma of the skin,2007,Persons,before age 20,0.0237,4220.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 25,0.0625,1599.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 30,0.1330,752.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 35,0.2411,415.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 40,0.3980,251.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 45,0.5961,168.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 50,0.8449,118.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 55,1.1698,85.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 60,1.5941,63.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 65,2.1158,47.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 70,2.7060,37.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 75,3.4244,29.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 80,4.1597,24.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 85,4.7808,21.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 90,5.2213,19.0,Diagnosis
Melanoma of the skin,2007,Persons,Lifetime,5.5009,18.0,Diagnosis
Melanoma of the skin,2007,Males,before age  5,0.0007,,Diagnosis
Melanoma of the skin,2007,Males,before age 10,0.0007,,Diagnosis
Melanoma of the skin,2007,Males,before age 15,0.0021,,Diagnosis
Melanoma of the skin,2007,Males,before age 20,0.0140,7153.0,Diagnosis
Melanoma of the skin,2007,Males,before age 25,0.0314,3186.0,Diagnosis
Melanoma of the skin,2007,Males,before age 30,0.0928,1077.0,Diagnosis
Melanoma of the skin,2007,Males,before age 35,0.1937,516.0,Diagnosis
Melanoma of the skin,2007,Males,before age 40,0.3265,306.0,Diagnosis
Melanoma of the skin,2007,Males,before age 45,0.5173,193.0,Diagnosis
Melanoma of the skin,2007,Males,before age 50,0.7536,133.0,Diagnosis
Melanoma of the skin,2007,Males,before age 55,1.1167,90.0,Diagnosis
Melanoma of the skin,2007,Males,before age 60,1.6082,62.0,Diagnosis
Melanoma of the skin,2007,Males,before age 65,2.2612,44.0,Diagnosis
Melanoma of the skin,2007,Males,before age 70,3.0303,33.0,Diagnosis
Melanoma of the skin,2007,Males,before age 75,3.9513,25.0,Diagnosis
Melanoma of the skin,2007,Males,before age 80,4.9264,20.0,Diagnosis
Melanoma of the skin,2007,Males,before age 85,5.8236,17.0,Diagnosis
Melanoma of the skin,2007,Males,before age 90,6.4039,16.0,Diagnosis
Melanoma of the skin,2007,Males,Lifetime,6.8007,15.0,Diagnosis
Melanoma of the skin,2007,Females,before age  5,0.0007,,Diagnosis
Melanoma of the skin,2007,Females,before age 10,0.0022,,Diagnosis
Melanoma of the skin,2007,Females,before age 15,0.0044,,Diagnosis
Melanoma of the skin,2007,Females,before age 20,0.0135,,Diagnosis
Melanoma of the skin,2007,Females,before age 25,0.0517,1935.0,Diagnosis
Melanoma of the skin,2007,Females,before age 30,0.1402,713.0,Diagnosis
Melanoma of the skin,2007,Females,before age 35,0.2526,396.0,Diagnosis
Melanoma of the skin,2007,Females,before age 40,0.3966,252.0,Diagnosis
Melanoma of the skin,2007,Females,before age 45,0.5967,168.0,Diagnosis
Melanoma of the skin,2007,Females,before age 50,0.8324,120.0,Diagnosis
Melanoma of the skin,2007,Females,before age 55,1.1206,89.0,Diagnosis
Melanoma of the skin,2007,Females,before age 60,1.4550,69.0,Diagnosis
Melanoma of the skin,2007,Females,before age 65,1.8650,54.0,Diagnosis
Melanoma of the skin,2007,Females,before age 70,2.3676,42.0,Diagnosis
Melanoma of the skin,2007,Females,before age 75,2.8176,35.0,Diagnosis
Melanoma of the skin,2007,Females,before age 80,3.3037,30.0,Diagnosis
Melanoma of the skin,2007,Females,before age 85,3.7519,27.0,Diagnosis
Melanoma of the skin,2007,Females,before age 90,4.1232,24.0,Diagnosis
Melanoma of the skin,2007,Females,Lifetime,4.3738,23.0,Diagnosis
Melanoma of the skin,2007,Persons,before age  5,0.0007,,Diagnosis
Melanoma of the skin,2007,Persons,before age 10,0.0014,,Diagnosis
Melanoma of the skin,2007,Persons,before age 15,0.0032,,Diagnosis
Melanoma of the skin,2007,Persons,before age 20,0.0138,7269.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 25,0.0412,2425.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 30,0.1160,862.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 35,0.2226,449.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 40,0.3610,277.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 45,0.5564,180.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 50,0.7924,126.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 55,1.1181,89.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 60,1.5317,65.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 65,2.0660,48.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 70,2.7057,37.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 75,3.3976,29.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 80,4.1275,24.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 85,4.7923,21.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 90,5.2533,19.0,Diagnosis
Melanoma of the skin,2007,Persons,Lifetime,5.5571,18.0,Diagnosis
Melanoma of the skin,2007,Males,before age  5,0.0007,,Diagnosis
Melanoma of the skin,2007,Males,before age 10,0.0014,,Diagnosis
Melanoma of the skin,2007,Males,before age 15,0.0049,,Diagnosis
Melanoma of the skin,2007,Males,before age 20,0.0168,5943.0,Diagnosis
Melanoma of the skin,2007,Males,before age 25,0.0433,2310.0,Diagnosis
Melanoma of the skin,2007,Males,before age 30,0.1008,992.0,Diagnosis
Melanoma of the skin,2007,Males,before age 35,0.1915,522.0,Diagnosis
Melanoma of the skin,2007,Males,before age 40,0.3127,320.0,Diagnosis
Melanoma of the skin,2007,Males,before age 45,0.5066,197.0,Diagnosis
Melanoma of the skin,2007,Males,before age 50,0.7508,133.0,Diagnosis
Melanoma of the skin,2007,Males,before age 55,1.0829,92.0,Diagnosis
Melanoma of the skin,2007,Males,before age 60,1.5659,64.0,Diagnosis
Melanoma of the skin,2007,Males,before age 65,2.2708,44.0,Diagnosis
Melanoma of the skin,2007,Males,before age 70,3.0479,33.0,Diagnosis
Melanoma of the skin,2007,Males,before age 75,3.9445,25.0,Diagnosis
Melanoma of the skin,2007,Males,before age 80,4.7941,21.0,Diagnosis
Melanoma of the skin,2007,Males,before age 85,5.6137,18.0,Diagnosis
Melanoma of the skin,2007,Males,before age 90,6.1903,16.0,Diagnosis
Melanoma of the skin,2007,Males,Lifetime,6.5639,15.0,Diagnosis
Melanoma of the skin,2007,Females,before age  5,0.0000,,Diagnosis
Melanoma of the skin,2007,Females,before age 10,0.0015,,Diagnosis
Melanoma of the skin,2007,Females,before age 15,0.0029,,Diagnosis
Melanoma of the skin,2007,Females,before age 20,0.0170,5878.0,Diagnosis
Melanoma of the skin,2007,Females,before age 25,0.0542,1846.0,Diagnosis
Melanoma of the skin,2007,Females,before age 30,0.1240,807.0,Diagnosis
Melanoma of the skin,2007,Females,before age 35,0.2137,468.0,Diagnosis
Melanoma of the skin,2007,Females,before age 40,0.3839,260.0,Diagnosis
Melanoma of the skin,2007,Females,before age 45,0.5756,174.0,Diagnosis
Melanoma of the skin,2007,Females,before age 50,0.8232,121.0,Diagnosis
Melanoma of the skin,2007,Females,before age 55,1.0942,91.0,Diagnosis
Melanoma of the skin,2007,Females,before age 60,1.4213,70.0,Diagnosis
Melanoma of the skin,2007,Females,before age 65,1.8340,55.0,Diagnosis
Melanoma of the skin,2007,Females,before age 70,2.3421,43.0,Diagnosis
Melanoma of the skin,2007,Females,before age 75,2.8928,35.0,Diagnosis
Melanoma of the skin,2007,Females,before age 80,3.3423,30.0,Diagnosis
Melanoma of the skin,2007,Females,before age 85,3.8326,26.0,Diagnosis
Melanoma of the skin,2007,Females,before age 90,4.1756,24.0,Diagnosis
Melanoma of the skin,2007,Females,Lifetime,4.4439,23.0,Diagnosis
Melanoma of the skin,2007,Persons,before age  5,0.0003,,Diagnosis
Melanoma of the skin,2007,Persons,before age 10,0.0014,,Diagnosis
Melanoma of the skin,2007,Persons,before age 15,0.0039,,Diagnosis
Melanoma of the skin,2007,Persons,before age 20,0.0169,5912.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 25,0.0486,2057.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 30,0.1121,892.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 35,0.2023,494.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 40,0.3481,287.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 45,0.5408,185.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 50,0.7868,127.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 55,1.0883,92.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 60,1.4938,67.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 65,2.0556,49.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 70,2.7021,37.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 75,3.4316,29.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 80,4.0812,25.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 85,4.7315,21.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 90,5.1778,19.0,Diagnosis
Melanoma of the skin,2007,Persons,Lifetime,5.4832,18.0,Diagnosis
Melanoma of the skin,2007,Males,before age  5,0.0007,,Diagnosis
Melanoma of the skin,2007,Males,before age 10,0.0007,,Diagnosis
Melanoma of the skin,2007,Males,before age 15,0.0013,,Diagnosis
Melanoma of the skin,2007,Males,before age 20,0.0113,,Diagnosis
Melanoma of the skin,2007,Males,before age 25,0.0411,2433.0,Diagnosis
Melanoma of the skin,2007,Males,before age 30,0.0991,1009.0,Diagnosis
Melanoma of the skin,2007,Males,before age 35,0.1928,519.0,Diagnosis
Melanoma of the skin,2007,Males,before age 40,0.3201,312.0,Diagnosis
Melanoma of the skin,2007,Males,before age 45,0.5084,197.0,Diagnosis
Melanoma of the skin,2007,Males,before age 50,0.7495,133.0,Diagnosis
Melanoma of the skin,2007,Males,before age 55,1.1215,89.0,Diagnosis
Melanoma of the skin,2007,Males,before age 60,1.6043,62.0,Diagnosis
Melanoma of the skin,2007,Males,before age 65,2.2616,44.0,Diagnosis
Melanoma of the skin,2007,Males,before age 70,3.0836,32.0,Diagnosis
Melanoma of the skin,2007,Males,before age 75,4.0458,25.0,Diagnosis
Melanoma of the skin,2007,Males,before age 80,4.9985,20.0,Diagnosis
Melanoma of the skin,2007,Males,before age 85,5.8086,17.0,Diagnosis
Melanoma of the skin,2007,Males,before age 90,6.4560,15.0,Diagnosis
Melanoma of the skin,2007,Males,Lifetime,6.8695,15.0,Diagnosis
Melanoma of the skin,2007,Females,before age  5,0.0000,,Diagnosis
Melanoma of the skin,2007,Females,before age 10,0.0000,,Diagnosis
Melanoma of the skin,2007,Females,before age 15,0.0015,,Diagnosis
Melanoma of the skin,2007,Females,before age 20,0.0148,6772.0,Diagnosis
Melanoma of the skin,2007,Females,before age 25,0.0540,1852.0,Diagnosis
Melanoma of the skin,2007,Females,before age 30,0.1315,761.0,Diagnosis
Melanoma of the skin,2007,Females,before age 35,0.2459,407.0,Diagnosis
Melanoma of the skin,2007,Females,before age 40,0.4028,248.0,Diagnosis
Melanoma of the skin,2007,Females,before age 45,0.6085,164.0,Diagnosis
Melanoma of the skin,2007,Females,before age 50,0.8569,117.0,Diagnosis
Melanoma of the skin,2007,Females,before age 55,1.1545,87.0,Diagnosis
Melanoma of the skin,2007,Females,before age 60,1.4970,67.0,Diagnosis
Melanoma of the skin,2007,Females,before age 65,1.9155,52.0,Diagnosis
Melanoma of the skin,2007,Females,before age 70,2.4109,41.0,Diagnosis
Melanoma of the skin,2007,Females,before age 75,2.8967,35.0,Diagnosis
Melanoma of the skin,2007,Females,before age 80,3.4061,29.0,Diagnosis
Melanoma of the skin,2007,Females,before age 85,3.8633,26.0,Diagnosis
Melanoma of the skin,2007,Females,before age 90,4.2585,23.0,Diagnosis
Melanoma of the skin,2007,Females,Lifetime,4.5797,22.0,Diagnosis
Melanoma of the skin,2007,Persons,before age  5,0.0003,,Diagnosis
Melanoma of the skin,2007,Persons,before age 10,0.0003,,Diagnosis
Melanoma of the skin,2007,Persons,before age 15,0.0014,,Diagnosis
Melanoma of the skin,2007,Persons,before age 20,0.0130,7704.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 25,0.0474,2110.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 30,0.1150,870.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 35,0.2190,457.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 40,0.3611,277.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 45,0.5580,179.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 50,0.8028,125.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 55,1.1376,88.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 60,1.5504,64.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 65,2.0901,48.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 70,2.7530,36.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 75,3.4837,29.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 80,4.2152,24.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 85,4.8429,21.0,Diagnosis
Melanoma of the skin,2007,Persons,before age 90,5.3493,19.0,Diagnosis
Melanoma of the skin,2007,Persons,Lifetime,5.7005,18.0,Diagnosis
Melanoma of the skin,2007,Males,before age  5,0.0006,,Diagnosis
Melanoma of the skin,2007,Males,before age 10,0.0013,,Diagnosis
Melanoma of the skin,2007,Males,before age 15,0.0027,,Diagnosis
Melanoma of the skin,2007,Males,before age 20,0.0113,,Diagnosis
Melanoma of the skin,2007,Males,before age 25,0.0378,2643.0,Diagnosis
Melanoma of the skin,2007,Males,before age 30,0.0904,1107.0,Diagnosis
Melanoma of the skin,2007,Males,before age 35,0.1710,585.0,Diagnosis
Melanoma of the skin,2007,Males,before age 40,0.3036,329.0,Diagnosis
Melanoma of the skin,2007,Males,before age 45,0.4834,207.0,Diagnosis
Melanoma of the skin,2007,Males,before age 50,0.7405,135.0,Diagnosis
Melanoma of the skin,2007,Males,before age 55,1.0934,91.0,Diagnosis
Melanoma of the skin,2007,Males,before age 60,1.5658,64.0,Diagnosis
Melanoma of the skin,2007,Males,before age 65,2.2639,44.0,Diagnosis
Melanoma of the skin,2007,Males,before age 70,3.1184,32.0,Diagnosis
Melanoma of the skin,2007,Males,before age 75,4.0981,24.0,Diagnosis
Melanoma of the skin,2007,Males,before age 80,5.1175,20.0,Diagnosis
Melanoma of the skin,2007,Males,before age 85,6.0548,17.0,Diagnosis
Melanoma of the skin,2007,Males,before age 90,6.6944,15.0,Diagnosis
Melanoma of the skin,2007,Males,Lifetime,7.1714,14.0,Diagnosis
Melanoma of the skin,2007,Females,before age  5,0.0007,,Diagnosis
Melanoma of the skin,2007,Females,before age 10,0.0014,,Diagnosis
Melanoma of the skin,2007,Females,before age 15,0.0043,,Diagnosis
Melanoma of the skin,2007,Females,before age 20,0.0196,5096.0,Diagnosis
Melanoma of the skin,2007,Females,before age 25,0.0566,1767.0,Diagnosis
Melanoma of the skin,2007,Females,before age 30,0.1353,739.0,Diagnosis
Melanoma of the skin,2007,Females,before age 35,0.2485,402.0,Diagnosis
Melanoma of the skin,2007,Females,before age 40,0.4073,245.0,Diagnosis
Melanoma of the skin,2007,Females,before age 45,0.6196,161.0,Diagnosis
Melanoma of the skin,2007,Females,before age 50,0.8712,115.0,Diagnosis
Melanoma of the skin,2007,Females,before age 55,1.1881,84.0,Diagnosis
Melanoma of the skin,2007,Females,before age 60,1.5354,65.0,Diagnosis
Melanoma of the skin,2007,Females,before age 65,1.9242,52.0,Diagnosis
Melanoma of the skin,2007,Females,before age 70,2.4287,41.0,Diagnosis
Melanoma of the skin,2007,Females,before age 75,2.9427,34.0,Diagnosis
Melanoma of the skin,2007,Females,before age 80,3.5006,29.0,Diagnosis
