row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
145,Melanoma of the skin,2012,Females,Victoria,988,34.6,104,3.6,Female,2884237
146,Melanoma of the skin,2012,Females,Queensland,"1,430",62.4,105,4.6,Female,2311528
147,Melanoma of the skin,2012,Females,Western Australia,451,37.5,39,3.2,Female,1217874
148,Melanoma of the skin,2012,Females,South Australia,302,36.1,37,4.4,Female,839394
149,Melanoma of the skin,2012,Females,Tasmania,109,42.4,21,8.2,Female,257127
150,Melanoma of the skin,2012,Females,Australian Capital Territory,54,29.4,6,3.3,Female,191139
151,Melanoma of the skin,2012,Females,Northern Territory,23,21.1,1,n.p.,Female,113685
152,Melanoma of the skin,2012,Females,,"5,081",44.5,490,4.3,Female,11519235
153,Melanoma of the skin,2012,Persons,New South Wales,"4,189",57.4,545,7.5,Person,7353189
154,Melanoma of the skin,2012,Persons,Victoria,"2,280",40.3,314,5.6,Person,5709586
155,Melanoma of the skin,2012,Persons,Queensland,"3,444",75.4,336,7.4,Person,4611304
156,Melanoma of the skin,2012,Persons,Western Australia,"1,145",47.2,151,6.2,Person,2457489
157,Melanoma of the skin,2012,Persons,South Australia,695,42.0,101,6.1,Person,1663082
158,Melanoma of the skin,2012,Persons,Tasmania,255,49.8,49,9.6,Person,511993
159,Melanoma of the skin,2012,Persons,Australian Capital Territory,132,36.6,18,4.9,Person,379812
160,Melanoma of the skin,2012,Persons,Northern Territory,60,26.3,6,2.6,Person,238728
161,Melanoma of the skin,2012,Persons,,"12,233",53.8,"1,529",6.7,Person,22928023
162,Melanoma of the skin,2013,Males,New South Wales,"2,540",69.1,398,10.8,Male,3698220
163,Melanoma of the skin,2013,Males,Victoria,"1,330",46.6,249,8.7,Male,2884387
164,Melanoma of the skin,2013,Males,Queensland,"2,163",93.3,313,13.5,Male,2333762
165,Melanoma of the skin,2013,Males,Western Australia,780,62.2,109,8.7,Male,1259941
166,Melanoma of the skin,2013,Males,South Australia,437,52.8,70,8.5,Male,830900
167,Melanoma of the skin,2013,Males,Tasmania,139,54.6,21,8.2,Male,254878
168,Melanoma of the skin,2013,Males,Australian Capital Territory,81,44.0,12,6.4,Male,191691
169,Melanoma of the skin,2013,Males,Northern Territory,39,31.8,5,4.3,Male,126921
170,Melanoma of the skin,2013,Males,,"7,523",65.4,"1,177",10.2,Male,11582448
171,Melanoma of the skin,2013,Females,New South Wales,"1,767",47.4,155,4.2,Female,3756718
172,Melanoma of the skin,2013,Females,Victoria,"1,002",34.4,118,4.0,Female,2948198
173,Melanoma of the skin,2013,Females,Queensland,"1,530",65.6,110,4.7,Female,2351677
174,Melanoma of the skin,2013,Females,Western Australia,532,43.2,51,4.1,Female,1242247
175,Melanoma of the skin,2013,Females,South Australia,284,33.7,36,4.3,Female,847152
176,Melanoma of the skin,2013,Females,Tasmania,136,52.8,12,4.7,Female,258137
177,Melanoma of the skin,2013,Females,Australian Capital Territory,54,29.2,5,2.9,Female,194627
178,Melanoma of the skin,2013,Females,Northern Territory,24,22.0,2,n.p.,Female,115450
179,Melanoma of the skin,2013,Females,,"5,339",45.9,489,4.2,Female,11715329
180,Melanoma of the skin,2013,Persons,New South Wales,"4,307",58.2,553,7.5,Person,7454938
181,Melanoma of the skin,2013,Persons,Victoria,"2,332",40.4,367,6.4,Person,5832585
182,Melanoma of the skin,2013,Persons,Queensland,"3,693",79.4,423,9.1,Person,4685439
183,Melanoma of the skin,2013,Persons,Western Australia,"1,312",52.8,160,6.4,Person,2502188
184,Melanoma of the skin,2013,Persons,South Australia,721,43.1,106,6.3,Person,1678052
185,Melanoma of the skin,2013,Persons,Tasmania,275,53.7,33,6.4,Person,513015
186,Melanoma of the skin,2013,Persons,Australian Capital Territory,135,36.5,17,4.7,Person,386318
187,Melanoma of the skin,2013,Persons,Northern Territory,63,27.1,7,2.9,Person,242304
188,Melanoma of the skin,2013,Persons,,"12,862",55.6,"1,666",7.2,Person,23297777
189,Melanoma of the skin,2014,Males,New South Wales,"2,558",68.7,336,9.0,Male,3750061
190,Melanoma of the skin,2014,Males,Victoria,"1,402",48.1,190,6.5,Male,2945763
191,Melanoma of the skin,2014,Males,Queensland,"2,199",93.6,250,10.6,Male,2361282
192,Melanoma of the skin,2014,Males,Western Australia,770,60.8,103,8.1,Male,1271552
193,Melanoma of the skin,2014,Males,South Australia,478,57.2,90,10.8,Male,838094
194,Melanoma of the skin,2014,Males,Tasmania,163,63.9,23,9.0,Male,255134
195,Melanoma of the skin,2014,Males,Australian Capital Territory,81,43.5,11,5.8,Male,194291
196,Melanoma of the skin,2014,Males,Northern Territory,43,34.4,6,4.5,Male,127079
197,Melanoma of the skin,2014,Males,,"7,705",66.0,"1,004",8.6,Male,11744498
198,Melanoma of the skin,2014,Females,New South Wales,"1,797",47.5,165,4.4,Female,3812110
199,Melanoma of the skin,2014,Females,Victoria,"1,064",35.7,88,3.0,Female,3011749
200,Melanoma of the skin,2014,Females,Queensland,"1,507",63.6,102,4.3,Female,2385981
201,Melanoma of the skin,2014,Females,Western Australia,530,42.4,49,3.9,Female,1257067
202,Melanoma of the skin,2014,Females,South Australia,310,36.4,33,3.9,Female,855013
203,Melanoma of the skin,2014,Females,Tasmania,169,65.3,14,5.4,Female,259067
204,Melanoma of the skin,2014,Females,Australian Capital Territory,63,33.3,5,2.8,Female,197690
205,Melanoma of the skin,2014,Females,Northern Territory,25,22.2,2,n.p.,Female,116165
206,Melanoma of the skin,2014,Females,,"5,483",46.4,461,3.9,Female,11895833
207,Melanoma of the skin,2014,Persons,New South Wales,"4,355",58.0,501,6.7,Person,7562171
208,Melanoma of the skin,2014,Persons,Victoria,"2,466",41.8,278,4.7,Person,5957512
209,Melanoma of the skin,2014,Persons,Queensland,"3,706",78.5,352,7.5,Person,4747263
210,Melanoma of the skin,2014,Persons,Western Australia,"1,300",51.6,152,6.0,Person,2528619
211,Melanoma of the skin,2014,Persons,South Australia,788,46.7,123,7.3,Person,1693107
212,Melanoma of the skin,2014,Persons,Tasmania,332,64.6,37,7.2,Person,514040
213,Melanoma of the skin,2014,Persons,Australian Capital Territory,144,38.4,16,4.3,Person,391981
214,Melanoma of the skin,2014,Persons,Northern Territory,68,28.6,8,3.3,Person,243201
215,Melanoma of the skin,2014,Persons,,"13,188",56.2,"1,465",6.2,Person,23640331
216,Melanoma of the skin,2015,Males,New South Wales,"2,581",68.3,386,10.2,Male,3803289
217,Melanoma of the skin,2015,Males,Victoria,"1,533",51.5,215,7.2,Male,3011376
218,Melanoma of the skin,2015,Males,Queensland,"2,192",92.3,221,9.3,Male,2385347
219,Melanoma of the skin,2015,Males,Western Australia,895,70.1,102,8.0,Male,1278792
220,Melanoma of the skin,2015,Males,South Australia,471,56.0,74,8.8,Male,843702
221,Melanoma of the skin,2015,Males,Tasmania,166,65.0,18,7.0,Male,255551
222,Melanoma of the skin,2015,Males,Australian Capital Territory,84,44.0,12,6.1,Male,197696
223,Melanoma of the skin,2015,Males,Northern Territory,48,38.4,6,4.9,Male,127914
224,Melanoma of the skin,2015,Males,,"8,004",67.7,"1,039",8.8,Male,11904308
225,Melanoma of the skin,2015,Females,New South Wales,"1,780",46.4,176,4.6,Female,3868112
226,Melanoma of the skin,2015,Females,Victoria,"1,162",38.2,111,3.6,Female,3081673
227,Melanoma of the skin,2015,Females,Queensland,"1,561",65.0,97,4.0,Female,2419586
228,Melanoma of the skin,2015,Females,Western Australia,669,52.9,54,4.3,Female,1268953
229,Melanoma of the skin,2015,Females,South Australia,295,34.3,24,2.8,Female,862235
230,Melanoma of the skin,2015,Females,Tasmania,136,52.4,5,1.9,Female,260242
231,Melanoma of the skin,2015,Females,Australian Capital Territory,70,36.1,6,3.1,Female,201178
232,Melanoma of the skin,2015,Females,Northern Territory,27,23.7,2,n.p.,Female,117123
233,Melanoma of the skin,2015,Females,,"5,714",47.7,475,4.0,Female,12080273
234,Melanoma of the skin,2015,Persons,New South Wales,"4,361",57.3,562,7.4,Person,7671401
235,Melanoma of the skin,2015,Persons,Victoria,"2,695",44.8,326,5.4,Person,6093049
236,Melanoma of the skin,2015,Persons,Queensland,"3,753",78.6,318,6.7,Person,4804933
237,Melanoma of the skin,2015,Persons,Western Australia,"1,564",61.6,156,6.1,Person,2547745
238,Melanoma of the skin,2015,Persons,South Australia,766,45.0,98,5.8,Person,1705937
239,Melanoma of the skin,2015,Persons,Tasmania,302,58.6,23,4.5,Person,515697
240,Melanoma of the skin,2015,Persons,Australian Capital Territory,153,40.1,18,4.6,Person,398874
241,Melanoma of the skin,2015,Persons,Northern Territory,75,31.4,8,3.5,Person,244692
242,Melanoma of the skin,2015,Persons,,"13,718",57.6,"1,514",6.4,Person,23984581
243,Melanoma of the skin,2016,Males,New South Wales,"2,858",74.5,288,7.5,Male,3865361
244,Melanoma of the skin,2016,Males,Victoria,"1,569",51.4,178,5.8,Male,3082379
245,Melanoma of the skin,2016,Males,Queensland,"2,331",97.0,213,8.9,Male,2421215
246,Melanoma of the skin,2016,Males,Western Australia,912,71.1,91,7.1,Male,1288303
247,Melanoma of the skin,2016,Males,South Australia,463,54.7,56,6.6,Male,849914
248,Melanoma of the skin,2016,Males,Tasmania,185,72.2,23,9.0,Male,258456
249,Melanoma of the skin,2016,Males,Australian Capital Territory,92,47.4,11,5.8,Male,202502
250,Melanoma of the skin,2016,Males,Northern Territory,54,42.5,6,4.9,Male,128021
251,Melanoma of the skin,2016,Males,,"8,491",70.7,858,7.1,Male,12098143
252,Melanoma of the skin,2016,Females,New South Wales,"1,927",49.4,131,3.4,Female,3930264
253,Melanoma of the skin,2016,Females,Victoria,"1,251",40.1,85,2.7,Female,3153402
254,Melanoma of the skin,2016,Females,Queensland,"1,633",66.9,88,3.6,Female,2461724
255,Melanoma of the skin,2016,Females,Western Australia,624,49.0,36,2.8,Female,1281303
256,Melanoma of the skin,2016,Females,South Australia,341,39.4,39,4.5,Female,869666
257,Melanoma of the skin,2016,Females,Tasmania,148,56.6,7,2.7,Female,263525
258,Melanoma of the skin,2016,Females,Australian Capital Territory,75,38.2,7,3.4,Female,206376
259,Melanoma of the skin,2016,Females,Northern Territory,28,24.6,2,n.p.,Female,118539
260,Melanoma of the skin,2016,Females,,"6,034",49.5,396,3.2,Female,12286921
261,Melanoma of the skin,2016,Persons,New South Wales,"4,785",61.9,419,5.4,Person,7795625
262,Melanoma of the skin,2016,Persons,Victoria,"2,820",45.7,263,4.3,Person,6235781
263,Melanoma of the skin,2016,Persons,Queensland,"3,964",81.8,301,6.2,Person,4882939
264,Melanoma of the skin,2016,Persons,Western Australia,"1,536",60.1,127,5.0,Person,2569606
265,Melanoma of the skin,2016,Persons,South Australia,804,46.9,95,5.5,Person,1719580
266,Melanoma of the skin,2016,Persons,Tasmania,333,64.3,30,5.8,Person,521981
267,Melanoma of the skin,2016,Persons,Australian Capital Territory,167,42.8,18,4.6,Person,408878
268,Melanoma of the skin,2016,Persons,Northern Territory,82,33.9,8,3.3,Person,246443
269,Melanoma of the skin,2016,Persons,,"14,525",60.0,"1,254",5.2,Person,24385064
270,Melanoma of the skin,2017,Males,New South Wales,"2,975",76.3,319,8.2,Male,3921301
271,Melanoma of the skin,2017,Males,Victoria,"1,673",53.7,162,5.2,Male,3144429
272,Melanoma of the skin,2017,Males,Queensland,"2,477",101.4,241,9.9,Male,2458389
273,Melanoma of the skin,2017,Males,Western Australia,867,66.9,89,6.9,Male,1302076
274,Melanoma of the skin,2017,Males,South Australia,467,54.7,59,6.9,Male,857807
275,Melanoma of the skin,2017,Males,Tasmania,181,69.4,23,8.8,Male,263305
276,Melanoma of the skin,2017,Males,Australian Capital Territory,107,54.4,10,5.2,Male,207866
277,Melanoma of the skin,2017,Males,Northern Territory,52,40.9,5,3.9,Male,128104
278,Melanoma of the skin,2017,Males,,"8,833",72.4,908,7.4,Male,12284961
279,Melanoma of the skin,2017,Females,New South Wales,"1,957",49.4,186,4.7,Female,3979645
280,Melanoma of the skin,2017,Females,Victoria,"1,310",41.1,111,3.5,Female,3213781
281,Melanoma of the skin,2017,Females,Queensland,"1,671",67.3,106,4.3,Female,2502576
282,Melanoma of the skin,2017,Females,Western Australia,586,45.4,46,3.6,Female,1297852
283,Melanoma of the skin,2017,Females,South Australia,332,38.0,25,2.9,Female,877847
284,Melanoma of the skin,2017,Females,Tasmania,158,59.4,7,2.6,Female,268256
285,Melanoma of the skin,2017,Females,Australian Capital Territory,77,38.5,8,3.9,Female,212360
286,Melanoma of the skin,2017,Females,Northern Territory,29,24.6,2,n.p.,Female,119647
287,Melanoma of the skin,2017,Females,,"6,129",49.5,495,4.0,Female,12474057
288,Melanoma of the skin,2017,Persons,New South Wales,"4,932",62.8,505,6.4,Person,7900946
289,Melanoma of the skin,2017,Persons,Victoria,"2,983",47.3,273,4.3,Person,6358210
290,Melanoma of the skin,2017,Persons,Queensland,"4,148",84.2,347,7.0,Person,4960965
291,Melanoma of the skin,2017,Persons,Western Australia,"1,453",56.2,135,5.2,Person,2599928
292,Melanoma of the skin,2017,Persons,South Australia,799,46.2,84,4.9,Person,1735654
293,Melanoma of the skin,2017,Persons,Tasmania,339,64.4,30,5.7,Person,531561
294,Melanoma of the skin,2017,Persons,Australian Capital Territory,184,46.4,18,4.5,Person,420226
295,Melanoma of the skin,2017,Persons,Northern Territory,81,33.1,7,2.9,Person,247514
296,Melanoma of the skin,2017,Persons,,"14,962",60.8,"1,403",5.7,Person,24759018
297,Melanoma of the skin,2018,Males,New South Wales,"2,984",75.5,333,8.4,Male,3976266
298,Melanoma of the skin,2018,Males,Victoria,"1,766",55.6,195,6.1,Male,3207192
299,Melanoma of the skin,2018,Males,Queensland,"2,341",94.4,235,9.5,Male,2499842
300,Melanoma of the skin,2018,Males,Western Australia,857,65.4,80,6.1,Male,1319834
301,Melanoma of the skin,2018,Males,South Australia,476,55.2,62,7.2,Male,867603
302,Melanoma of the skin,2018,Males,Tasmania,205,77.0,33,12.4,Male,268840
303,Melanoma of the skin,2018,Males,Australian Capital Territory,114,56.7,12,6.1,Male,212822
304,Melanoma of the skin,2018,Males,Northern Territory,53,41.4,5,4.1,Male,127221
305,Melanoma of the skin,2018,Males,,"8,807",71.1,966,7.8,Male,12481024
306,Melanoma of the skin,2018,Females,New South Wales,"2,021",50.5,139,3.5,Female,4027298
307,Melanoma of the skin,2018,Females,Victoria,"1,311",40.4,97,3.0,Female,3272503
308,Melanoma of the skin,2018,Females,Queensland,"1,731",68.5,88,3.5,Female,2546592
309,Melanoma of the skin,2018,Females,Western Australia,627,48.0,52,4.0,Female,1316570
310,Melanoma of the skin,2018,Females,South Australia,309,35.0,23,2.6,Female,888112
311,Melanoma of the skin,2018,Females,Tasmania,196,72.3,12,4.4,Female,274087
312,Melanoma of the skin,2018,Females,Australian Capital Territory,81,39.7,8,3.9,Female,217936
313,Melanoma of the skin,2018,Females,Northern Territory,30,25.8,2,n.p.,Female,119997
