row,Cancer,Year,Sex,Age,Risk,Risk_1_X),Type
112,Melanoma of the skin,2008,Persons,before age 90,5.1837,19,Diagnosis
115,Melanoma of the skin,2009,Males,before age 10,0.0007,n.p.,Diagnosis
117,Melanoma of the skin,2009,Males,before age 20,0.0248,"4,035",Diagnosis
119,Melanoma of the skin,2009,Males,before age 30,0.1161,862,Diagnosis
121,Melanoma of the skin,2009,Males,before age 40,0.3712,269,Diagnosis
123,Melanoma of the skin,2009,Males,before age 50,0.803,125,Diagnosis
125,Melanoma of the skin,2009,Males,before age 60,1.67,60,Diagnosis
127,Melanoma of the skin,2009,Males,before age 70,3.0381,33,Diagnosis
129,Melanoma of the skin,2009,Males,before age 80,4.9046,20,Diagnosis
131,Melanoma of the skin,2009,Males,before age 90,6.2754,16,Diagnosis
134,Melanoma of the skin,2009,Females,before age 10,0.0008,n.p.,Diagnosis
136,Melanoma of the skin,2009,Females,before age 20,0.0225,"4,435",Diagnosis
138,Melanoma of the skin,2009,Females,before age 30,0.1509,663,Diagnosis
140,Melanoma of the skin,2009,Females,before age 40,0.4259,235,Diagnosis
142,Melanoma of the skin,2009,Females,before age 50,0.8878,113,Diagnosis
144,Melanoma of the skin,2009,Females,before age 60,1.5176,66,Diagnosis
146,Melanoma of the skin,2009,Females,before age 70,2.3585,42,Diagnosis
148,Melanoma of the skin,2009,Females,before age 80,3.3887,30,Diagnosis
150,Melanoma of the skin,2009,Females,before age 90,4.1857,24,Diagnosis
153,Melanoma of the skin,2009,Persons,before age 10,0.0007,n.p.,Diagnosis
155,Melanoma of the skin,2009,Persons,before age 20,0.0237,"4,220",Diagnosis
157,Melanoma of the skin,2009,Persons,before age 30,0.133,752,Diagnosis
159,Melanoma of the skin,2009,Persons,before age 40,0.398,251,Diagnosis
161,Melanoma of the skin,2009,Persons,before age 50,0.8449,118,Diagnosis
163,Melanoma of the skin,2009,Persons,before age 60,1.5941,63,Diagnosis
165,Melanoma of the skin,2009,Persons,before age 70,2.706,37,Diagnosis
167,Melanoma of the skin,2009,Persons,before age 80,4.1597,24,Diagnosis
169,Melanoma of the skin,2009,Persons,before age 90,5.2213,19,Diagnosis
172,Melanoma of the skin,2010,Males,before age 10,0.0007,n.p.,Diagnosis
174,Melanoma of the skin,2010,Males,before age 20,0.014,"7,153",Diagnosis
176,Melanoma of the skin,2010,Males,before age 30,0.0928,"1,077",Diagnosis
178,Melanoma of the skin,2010,Males,before age 40,0.3265,306,Diagnosis
180,Melanoma of the skin,2010,Males,before age 50,0.7536,133,Diagnosis
182,Melanoma of the skin,2010,Males,before age 60,1.6082,62,Diagnosis
184,Melanoma of the skin,2010,Males,before age 70,3.0303,33,Diagnosis
186,Melanoma of the skin,2010,Males,before age 80,4.9264,20,Diagnosis
188,Melanoma of the skin,2010,Males,before age 90,6.4039,16,Diagnosis
191,Melanoma of the skin,2010,Females,before age 10,0.0022,n.p.,Diagnosis
193,Melanoma of the skin,2010,Females,before age 20,0.0135,n.p.,Diagnosis
195,Melanoma of the skin,2010,Females,before age 30,0.1402,713,Diagnosis
197,Melanoma of the skin,2010,Females,before age 40,0.3966,252,Diagnosis
199,Melanoma of the skin,2010,Females,before age 50,0.8324,120,Diagnosis
201,Melanoma of the skin,2010,Females,before age 60,1.455,69,Diagnosis
203,Melanoma of the skin,2010,Females,before age 70,2.3676,42,Diagnosis
205,Melanoma of the skin,2010,Females,before age 80,3.3037,30,Diagnosis
207,Melanoma of the skin,2010,Females,before age 90,4.1232,24,Diagnosis
210,Melanoma of the skin,2010,Persons,before age 10,0.0014,n.p.,Diagnosis
212,Melanoma of the skin,2010,Persons,before age 20,0.0138,"7,269",Diagnosis
214,Melanoma of the skin,2010,Persons,before age 30,0.116,862,Diagnosis
216,Melanoma of the skin,2010,Persons,before age 40,0.361,277,Diagnosis
218,Melanoma of the skin,2010,Persons,before age 50,0.7924,126,Diagnosis
220,Melanoma of the skin,2010,Persons,before age 60,1.5317,65,Diagnosis
222,Melanoma of the skin,2010,Persons,before age 70,2.7057,37,Diagnosis
224,Melanoma of the skin,2010,Persons,before age 80,4.1275,24,Diagnosis
226,Melanoma of the skin,2010,Persons,before age 90,5.2533,19,Diagnosis
229,Melanoma of the skin,2011,Males,before age 10,0.0014,n.p.,Diagnosis
231,Melanoma of the skin,2011,Males,before age 20,0.0168,"5,943",Diagnosis
233,Melanoma of the skin,2011,Males,before age 30,0.1008,992,Diagnosis
235,Melanoma of the skin,2011,Males,before age 40,0.3127,320,Diagnosis
237,Melanoma of the skin,2011,Males,before age 50,0.7508,133,Diagnosis
239,Melanoma of the skin,2011,Males,before age 60,1.5659,64,Diagnosis
241,Melanoma of the skin,2011,Males,before age 70,3.0479,33,Diagnosis
243,Melanoma of the skin,2011,Males,before age 80,4.7941,21,Diagnosis
245,Melanoma of the skin,2011,Males,before age 90,6.1903,16,Diagnosis
248,Melanoma of the skin,2011,Females,before age 10,0.0015,n.p.,Diagnosis
250,Melanoma of the skin,2011,Females,before age 20,0.017,"5,878",Diagnosis
252,Melanoma of the skin,2011,Females,before age 30,0.124,807,Diagnosis
254,Melanoma of the skin,2011,Females,before age 40,0.3839,260,Diagnosis
256,Melanoma of the skin,2011,Females,before age 50,0.8232,121,Diagnosis
258,Melanoma of the skin,2011,Females,before age 60,1.4213,70,Diagnosis
260,Melanoma of the skin,2011,Females,before age 70,2.3421,43,Diagnosis
262,Melanoma of the skin,2011,Females,before age 80,3.3423,30,Diagnosis
264,Melanoma of the skin,2011,Females,before age 90,4.1756,24,Diagnosis
267,Melanoma of the skin,2011,Persons,before age 10,0.0014,n.p.,Diagnosis
269,Melanoma of the skin,2011,Persons,before age 20,0.0169,"5,912",Diagnosis
271,Melanoma of the skin,2011,Persons,before age 30,0.1121,892,Diagnosis
273,Melanoma of the skin,2011,Persons,before age 40,0.3481,287,Diagnosis
275,Melanoma of the skin,2011,Persons,before age 50,0.7868,127,Diagnosis
277,Melanoma of the skin,2011,Persons,before age 60,1.4938,67,Diagnosis
279,Melanoma of the skin,2011,Persons,before age 70,2.7021,37,Diagnosis
281,Melanoma of the skin,2011,Persons,before age 80,4.0812,25,Diagnosis
283,Melanoma of the skin,2011,Persons,before age 90,5.1778,19,Diagnosis
286,Melanoma of the skin,2012,Males,before age 10,0.0007,n.p.,Diagnosis
288,Melanoma of the skin,2012,Males,before age 20,0.0113,n.p.,Diagnosis
290,Melanoma of the skin,2012,Males,before age 30,0.0991,"1,009",Diagnosis
292,Melanoma of the skin,2012,Males,before age 40,0.3201,312,Diagnosis
294,Melanoma of the skin,2012,Males,before age 50,0.7495,133,Diagnosis
296,Melanoma of the skin,2012,Males,before age 60,1.6043,62,Diagnosis
298,Melanoma of the skin,2012,Males,before age 70,3.0836,32,Diagnosis
300,Melanoma of the skin,2012,Males,before age 80,4.9985,20,Diagnosis
302,Melanoma of the skin,2012,Males,before age 90,6.456,15,Diagnosis
305,Melanoma of the skin,2012,Females,before age 10,0.0,. .,Diagnosis
307,Melanoma of the skin,2012,Females,before age 20,0.0148,"6,772",Diagnosis
309,Melanoma of the skin,2012,Females,before age 30,0.1315,761,Diagnosis
311,Melanoma of the skin,2012,Females,before age 40,0.4028,248,Diagnosis
313,Melanoma of the skin,2012,Females,before age 50,0.8569,117,Diagnosis
315,Melanoma of the skin,2012,Females,before age 60,1.497,67,Diagnosis
317,Melanoma of the skin,2012,Females,before age 70,2.4109,41,Diagnosis
319,Melanoma of the skin,2012,Females,before age 80,3.4061,29,Diagnosis
321,Melanoma of the skin,2012,Females,before age 90,4.2585,23,Diagnosis
324,Melanoma of the skin,2012,Persons,before age 10,0.0003,n.p.,Diagnosis
326,Melanoma of the skin,2012,Persons,before age 20,0.013,"7,704",Diagnosis
328,Melanoma of the skin,2012,Persons,before age 30,0.115,870,Diagnosis
330,Melanoma of the skin,2012,Persons,before age 40,0.3611,277,Diagnosis
332,Melanoma of the skin,2012,Persons,before age 50,0.8028,125,Diagnosis
334,Melanoma of the skin,2012,Persons,before age 60,1.5504,64,Diagnosis
336,Melanoma of the skin,2012,Persons,before age 70,2.753,36,Diagnosis
338,Melanoma of the skin,2012,Persons,before age 80,4.2152,24,Diagnosis
340,Melanoma of the skin,2012,Persons,before age 90,5.3493,19,Diagnosis
343,Melanoma of the skin,2013,Males,before age 10,0.0013,n.p.,Diagnosis
345,Melanoma of the skin,2013,Males,before age 20,0.0113,n.p.,Diagnosis
347,Melanoma of the skin,2013,Males,before age 30,0.0904,"1,107",Diagnosis
349,Melanoma of the skin,2013,Males,before age 40,0.3036,329,Diagnosis
351,Melanoma of the skin,2013,Males,before age 50,0.7405,135,Diagnosis
353,Melanoma of the skin,2013,Males,before age 60,1.5658,64,Diagnosis
355,Melanoma of the skin,2013,Males,before age 70,3.1184,32,Diagnosis
357,Melanoma of the skin,2013,Males,before age 80,5.1175,20,Diagnosis
359,Melanoma of the skin,2013,Males,before age 90,6.6944,15,Diagnosis
362,Melanoma of the skin,2013,Females,before age 10,0.0014,n.p.,Diagnosis
364,Melanoma of the skin,2013,Females,before age 20,0.0196,"5,096",Diagnosis
366,Melanoma of the skin,2013,Females,before age 30,0.1353,739,Diagnosis
368,Melanoma of the skin,2013,Females,before age 40,0.4073,245,Diagnosis
370,Melanoma of the skin,2013,Females,before age 50,0.8712,115,Diagnosis
372,Melanoma of the skin,2013,Females,before age 60,1.5354,65,Diagnosis
374,Melanoma of the skin,2013,Females,before age 70,2.4287,41,Diagnosis
376,Melanoma of the skin,2013,Females,before age 80,3.5006,29,Diagnosis
378,Melanoma of the skin,2013,Females,before age 90,4.4421,23,Diagnosis
381,Melanoma of the skin,2013,Persons,before age 10,0.0013,n.p.,Diagnosis
383,Melanoma of the skin,2013,Persons,before age 20,0.0153,"6,520",Diagnosis
385,Melanoma of the skin,2013,Persons,before age 30,0.1124,889,Diagnosis
387,Melanoma of the skin,2013,Persons,before age 40,0.3549,282,Diagnosis
389,Melanoma of the skin,2013,Persons,before age 50,0.8054,124,Diagnosis
391,Melanoma of the skin,2013,Persons,before age 60,1.55,65,Diagnosis
393,Melanoma of the skin,2013,Persons,before age 70,2.7794,36,Diagnosis
395,Melanoma of the skin,2013,Persons,before age 80,4.3245,23,Diagnosis
397,Melanoma of the skin,2013,Persons,before age 90,5.5668,18,Diagnosis
400,Melanoma of the skin,2014,Males,before age 10,0.0,. .,Diagnosis
402,Melanoma of the skin,2014,Males,before age 20,0.0112,n.p.,Diagnosis
404,Melanoma of the skin,2014,Males,before age 30,0.0851,"1,175",Diagnosis
406,Melanoma of the skin,2014,Males,before age 40,0.2935,341,Diagnosis
408,Melanoma of the skin,2014,Males,before age 50,0.7341,136,Diagnosis
410,Melanoma of the skin,2014,Males,before age 60,1.5655,64,Diagnosis
412,Melanoma of the skin,2014,Males,before age 70,3.0886,32,Diagnosis
414,Melanoma of the skin,2014,Males,before age 80,5.0494,20,Diagnosis
416,Melanoma of the skin,2014,Males,before age 90,6.7514,15,Diagnosis
419,Melanoma of the skin,2014,Females,before age 10,0.0007,n.p.,Diagnosis
421,Melanoma of the skin,2014,Females,before age 20,0.0146,"6,856",Diagnosis
423,Melanoma of the skin,2014,Females,before age 30,0.1189,841,Diagnosis
425,Melanoma of the skin,2014,Females,before age 40,0.3656,273,Diagnosis
427,Melanoma of the skin,2014,Females,before age 50,0.8618,116,Diagnosis
429,Melanoma of the skin,2014,Females,before age 60,1.5217,66,Diagnosis
431,Melanoma of the skin,2014,Females,before age 70,2.4641,41,Diagnosis
433,Melanoma of the skin,2014,Females,before age 80,3.569,28,Diagnosis
435,Melanoma of the skin,2014,Females,before age 90,4.4497,22,Diagnosis
438,Melanoma of the skin,2014,Persons,before age 10,0.0003,n.p.,Diagnosis
440,Melanoma of the skin,2014,Persons,before age 20,0.0129,"7,772",Diagnosis
442,Melanoma of the skin,2014,Persons,before age 30,0.1018,983,Diagnosis
444,Melanoma of the skin,2014,Persons,before age 40,0.3293,304,Diagnosis
446,Melanoma of the skin,2014,Persons,before age 50,0.7978,125,Diagnosis
448,Melanoma of the skin,2014,Persons,before age 60,1.5433,65,Diagnosis
450,Melanoma of the skin,2014,Persons,before age 70,2.7813,36,Diagnosis
452,Melanoma of the skin,2014,Persons,before age 80,4.322,23,Diagnosis
454,Melanoma of the skin,2014,Persons,before age 90,5.5951,18,Diagnosis
457,Melanoma of the skin,2015,Males,before age 10,0.0,. .,Diagnosis
459,Melanoma of the skin,2015,Males,before age 20,0.0073,n.p.,Diagnosis
461,Melanoma of the skin,2015,Males,before age 30,0.0763,"1,311",Diagnosis
463,Melanoma of the skin,2015,Males,before age 40,0.2707,369,Diagnosis
465,Melanoma of the skin,2015,Males,before age 50,0.7409,135,Diagnosis
467,Melanoma of the skin,2015,Males,before age 60,1.5905,63,Diagnosis
469,Melanoma of the skin,2015,Males,before age 70,3.1366,32,Diagnosis
471,Melanoma of the skin,2015,Males,before age 80,5.2753,19,Diagnosis
473,Melanoma of the skin,2015,Males,before age 90,6.8334,15,Diagnosis
476,Melanoma of the skin,2015,Females,before age 10,0.0007,n.p.,Diagnosis
478,Melanoma of the skin,2015,Females,before age 20,0.0111,n.p.,Diagnosis
480,Melanoma of the skin,2015,Females,before age 30,0.1265,790,Diagnosis
482,Melanoma of the skin,2015,Females,before age 40,0.3811,262,Diagnosis
484,Melanoma of the skin,2015,Females,before age 50,0.8515,117,Diagnosis
486,Melanoma of the skin,2015,Females,before age 60,1.5179,66,Diagnosis
488,Melanoma of the skin,2015,Females,before age 70,2.5025,40,Diagnosis
490,Melanoma of the skin,2015,Females,before age 80,3.6699,27,Diagnosis
492,Melanoma of the skin,2015,Females,before age 90,4.6195,22,Diagnosis
495,Melanoma of the skin,2015,Persons,before age 10,0.0003,n.p.,Diagnosis
497,Melanoma of the skin,2015,Persons,before age 20,0.0091,"10,930",Diagnosis
499,Melanoma of the skin,2015,Persons,before age 30,0.1011,989,Diagnosis
501,Melanoma of the skin,2015,Persons,before age 40,0.3255,307,Diagnosis
503,Melanoma of the skin,2015,Persons,before age 50,0.7957,126,Diagnosis
505,Melanoma of the skin,2015,Persons,before age 60,1.5535,64,Diagnosis
507,Melanoma of the skin,2015,Persons,before age 70,2.8233,35,Diagnosis
509,Melanoma of the skin,2015,Persons,before age 80,4.4873,22,Diagnosis
511,Melanoma of the skin,2015,Persons,before age 90,5.729,17,Diagnosis
514,Melanoma of the skin,2016,Males,before age 10,0.0006,n.p.,Diagnosis
516,Melanoma of the skin,2016,Males,before age 20,0.0119,n.p.,Diagnosis
518,Melanoma of the skin,2016,Males,before age 30,0.0821,"1,218",Diagnosis
520,Melanoma of the skin,2016,Males,before age 40,0.3019,331,Diagnosis
522,Melanoma of the skin,2016,Males,before age 50,0.8071,124,Diagnosis
524,Melanoma of the skin,2016,Males,before age 60,1.7207,58,Diagnosis
526,Melanoma of the skin,2016,Males,before age 70,3.3143,30,Diagnosis
528,Melanoma of the skin,2016,Males,before age 80,5.4094,18,Diagnosis
530,Melanoma of the skin,2016,Males,before age 90,7.1032,14,Diagnosis
533,Melanoma of the skin,2016,Females,before age 10,0.0013,n.p.,Diagnosis
535,Melanoma of the skin,2016,Females,before age 20,0.0172,"5,801",Diagnosis
537,Melanoma of the skin,2016,Females,before age 30,0.1354,739,Diagnosis
539,Melanoma of the skin,2016,Females,before age 40,0.4236,236,Diagnosis
541,Melanoma of the skin,2016,Females,before age 50,0.8976,111,Diagnosis
543,Melanoma of the skin,2016,Females,before age 60,1.56,64,Diagnosis
545,Melanoma of the skin,2016,Females,before age 70,2.5929,39,Diagnosis
547,Melanoma of the skin,2016,Females,before age 80,3.7889,26,Diagnosis
549,Melanoma of the skin,2016,Females,before age 90,4.7757,21,Diagnosis
552,Melanoma of the skin,2016,Persons,before age 10,0.001,n.p.,Diagnosis
554,Melanoma of the skin,2016,Persons,before age 20,0.0145,"6,901",Diagnosis
556,Melanoma of the skin,2016,Persons,before age 30,0.1085,922,Diagnosis
558,Melanoma of the skin,2016,Persons,before age 40,0.3624,276,Diagnosis
560,Melanoma of the skin,2016,Persons,before age 50,0.8518,117,Diagnosis
562,Melanoma of the skin,2016,Persons,before age 60,1.6393,61,Diagnosis
564,Melanoma of the skin,2016,Persons,before age 70,2.9557,34,Diagnosis
566,Melanoma of the skin,2016,Persons,before age 80,4.6122,22,Diagnosis
568,Melanoma of the skin,2016,Persons,before age 90,5.9443,17,Diagnosis
571,Melanoma of the skin,2017,Males,before age 10,0.0012,n.p.,Diagnosis
573,Melanoma of the skin,2017,Males,before age 20,0.0104,n.p.,Diagnosis
575,Melanoma of the skin,2017,Males,before age 30,0.082,"1,219",Diagnosis
577,Melanoma of the skin,2017,Males,before age 40,0.2995,334,Diagnosis
579,Melanoma of the skin,2017,Males,before age 50,0.7681,130,Diagnosis
581,Melanoma of the skin,2017,Males,before age 60,1.7441,57,Diagnosis
583,Melanoma of the skin,2017,Males,before age 70,3.3042,30,Diagnosis
585,Melanoma of the skin,2017,Males,before age 80,5.4886,18,Diagnosis
587,Melanoma of the skin,2017,Males,before age 90,7.2186,14,Diagnosis
590,Melanoma of the skin,2017,Females,before age 10,0.0,. .,Diagnosis
592,Melanoma of the skin,2017,Females,before age 20,0.0152,"6,584",Diagnosis
594,Melanoma of the skin,2017,Females,before age 30,0.1072,933,Diagnosis
596,Melanoma of the skin,2017,Females,before age 40,0.3696,271,Diagnosis
598,Melanoma of the skin,2017,Females,before age 50,0.8599,116,Diagnosis
600,Melanoma of the skin,2017,Females,before age 60,1.5448,65,Diagnosis
602,Melanoma of the skin,2017,Females,before age 70,2.5421,39,Diagnosis
604,Melanoma of the skin,2017,Females,before age 80,3.7937,26,Diagnosis
606,Melanoma of the skin,2017,Females,before age 90,4.7482,21,Diagnosis
609,Melanoma of the skin,2017,Persons,before age 10,0.0006,n.p.,Diagnosis
611,Melanoma of the skin,2017,Persons,before age 20,0.0127,"7,859",Diagnosis
613,Melanoma of the skin,2017,Persons,before age 30,0.0943,"1,060",Diagnosis
615,Melanoma of the skin,2017,Persons,before age 40,0.3344,299,Diagnosis
617,Melanoma of the skin,2017,Persons,before age 50,0.8138,123,Diagnosis
619,Melanoma of the skin,2017,Persons,before age 60,1.6436,61,Diagnosis
621,Melanoma of the skin,2017,Persons,before age 70,2.9245,34,Diagnosis
623,Melanoma of the skin,2017,Persons,before age 80,4.6548,21,Diagnosis
625,Melanoma of the skin,2017,Persons,before age 90,5.9895,17,Diagnosis
628,Melanoma of the skin,2018,Males,before age 10,0.0006,n.p.,Diagnosis
630,Melanoma of the skin,2018,Males,before age 20,0.0123,n.p.,Diagnosis
632,Melanoma of the skin,2018,Males,before age 30,0.0884,"1,132",Diagnosis
634,Melanoma of the skin,2018,Males,before age 40,0.2831,353,Diagnosis
636,Melanoma of the skin,2018,Males,before age 50,0.7661,131,Diagnosis
638,Melanoma of the skin,2018,Males,before age 60,1.6858,59,Diagnosis
640,Melanoma of the skin,2018,Males,before age 70,3.2171,31,Diagnosis
642,Melanoma of the skin,2018,Males,before age 80,5.3694,19,Diagnosis
644,Melanoma of the skin,2018,Males,before age 90,7.1421,14,Diagnosis
647,Melanoma of the skin,2018,Females,before age 10,0.0,. .,Diagnosis
649,Melanoma of the skin,2018,Females,before age 20,0.0144,"6,939",Diagnosis
651,Melanoma of the skin,2018,Females,before age 30,0.1142,875,Diagnosis
653,Melanoma of the skin,2018,Females,before age 40,0.3887,257,Diagnosis
655,Melanoma of the skin,2018,Females,before age 50,0.8719,115,Diagnosis
657,Melanoma of the skin,2018,Females,before age 60,1.5676,64,Diagnosis
659,Melanoma of the skin,2018,Females,before age 70,2.5951,39,Diagnosis
661,Melanoma of the skin,2018,Females,before age 80,3.8257,26,Diagnosis
663,Melanoma of the skin,2018,Females,before age 90,4.8287,21,Diagnosis
666,Melanoma of the skin,2018,Persons,before age 10,0.0003,n.p.,Diagnosis
668,Melanoma of the skin,2018,Persons,before age 20,0.0133,"7,514",Diagnosis
670,Melanoma of the skin,2018,Persons,before age 30,0.1011,989,Diagnosis
672,Melanoma of the skin,2018,Persons,before age 40,0.3358,298,Diagnosis
674,Melanoma of the skin,2018,Persons,before age 50,0.8187,122,Diagnosis
676,Melanoma of the skin,2018,Persons,before age 60,1.6259,62,Diagnosis
678,Melanoma of the skin,2018,Persons,before age 70,2.9056,34,Diagnosis
680,Melanoma of the skin,2018,Persons,before age 80,4.6094,22,Diagnosis
682,Melanoma of the skin,2018,Persons,before age 90,5.9901,17,Diagnosis
685,Melanoma of the skin,2019,Males,before age 10,0.0012,n.p.,Diagnosis
687,Melanoma of the skin,2019,Males,before age 20,0.0147,"6,801",Diagnosis
689,Melanoma of the skin,2019,Males,before age 30,0.0872,"1,146",Diagnosis
691,Melanoma of the skin,2019,Males,before age 40,0.2968,337,Diagnosis
693,Melanoma of the skin,2019,Males,before age 50,0.7598,132,Diagnosis
695,Melanoma of the skin,2019,Males,before age 60,1.6552,60,Diagnosis
697,Melanoma of the skin,2019,Males,before age 70,3.2341,31,Diagnosis
699,Melanoma of the skin,2019,Males,before age 80,5.4672,18,Diagnosis
701,Melanoma of the skin,2019,Males,before age 90,7.2251,14,Diagnosis
704,Melanoma of the skin,2019,Females,before age 10,0.0006,n.p.,Diagnosis
706,Melanoma of the skin,2019,Females,before age 20,0.0136,"7,343",Diagnosis
708,Melanoma of the skin,2019,Females,before age 30,0.1129,886,Diagnosis
710,Melanoma of the skin,2019,Females,before age 40,0.3735,268,Diagnosis
712,Melanoma of the skin,2019,Females,before age 50,0.843,119,Diagnosis
714,Melanoma of the skin,2019,Females,before age 60,1.5414,65,Diagnosis
716,Melanoma of the skin,2019,Females,before age 70,2.5533,39,Diagnosis
718,Melanoma of the skin,2019,Females,before age 80,3.8446,26,Diagnosis
720,Melanoma of the skin,2019,Females,before age 90,4.9092,20,Diagnosis
723,Melanoma of the skin,2019,Persons,before age 10,0.0009,n.p.,Diagnosis
725,Melanoma of the skin,2019,Persons,before age 20,0.0142,"7,053",Diagnosis
727,Melanoma of the skin,2019,Persons,before age 30,0.0999,"1,001",Diagnosis
729,Melanoma of the skin,2019,Persons,before age 40,0.335,298,Diagnosis
731,Melanoma of the skin,2019,Persons,before age 50,0.8013,125,Diagnosis
733,Melanoma of the skin,2019,Persons,before age 60,1.5977,63,Diagnosis
735,Melanoma of the skin,2019,Persons,before age 70,2.8926,35,Diagnosis
737,Melanoma of the skin,2019,Persons,before age 80,4.6675,21,Diagnosis
739,Melanoma of the skin,2019,Persons,before age 90,6.074,16,Diagnosis
742,Melanoma of the skin,2020,Males,before age 10,0.0,. .,Diagnosis
744,Melanoma of the skin,2020,Males,before age 20,0.0083,n.p.,Diagnosis
746,Melanoma of the skin,2020,Males,before age 30,0.0667,"1,499",Diagnosis
748,Melanoma of the skin,2020,Males,before age 40,0.2309,433,Diagnosis
750,Melanoma of the skin,2020,Males,before age 50,0.6184,162,Diagnosis
752,Melanoma of the skin,2020,Males,before age 60,1.4373,70,Diagnosis
754,Melanoma of the skin,2020,Males,before age 70,2.8551,35,Diagnosis
756,Melanoma of the skin,2020,Males,before age 80,4.9411,20,Diagnosis
758,Melanoma of the skin,2020,Males,before age 90,6.7253,15,Diagnosis
761,Melanoma of the skin,2020,Females,before age 10,0.0006,n.p.,Diagnosis
763,Melanoma of the skin,2020,Females,before age 20,0.0157,"6,374",Diagnosis
765,Melanoma of the skin,2020,Females,before age 30,0.1118,895,Diagnosis
767,Melanoma of the skin,2020,Females,before age 40,0.3296,303,Diagnosis
769,Melanoma of the skin,2020,Females,before age 50,0.7958,126,Diagnosis
771,Melanoma of the skin,2020,Females,before age 60,1.4348,70,Diagnosis
773,Melanoma of the skin,2020,Females,before age 70,2.371,42,Diagnosis
